ACCESSION_NUMBER	OTHERMANAGER_SK	CIK	FORM13FFILENUMBER	CRDNUMBER	SECFILENUMBER	NAME
0000950123-25-008300	201931		028-13982		801-38965	NOMURA CORPORATE RESEARCH AND ASSET MANAGEMENT INC.
0000950123-25-008300	201930		028-17085		801-61751	NEUBERGER BERMAN INVESTMENT ADVISERS LLC
0000950123-25-008300	201929		028-11450		801-37702	MONDRIAN INVESTMENT PARTNERS LIMITED
0000950123-25-008300	201928		028-10229		801-60934	LOS ANGELES CAPITAL MANAGEMENT AND EQUITY RESEARCH, INC.
0000929638-25-003032	202589		028-22122			Cantor Fitzgerald, L.P.
0000929638-25-003031	203124		028-21401	000106301	801-50835	Smith Group Asset Management, LLC
0000929638-25-003031	203123		028-18098	000159296	801-72852	Cantor Fitzgerald Investment Advisors L.P.
0000899140-25-000975	202525	0001305473	028-12516			Insight Holdings Group, LLC
0001907684-25-000006	203030	0001771179	028-21942	000304053		Sagefield Capital LP
0002052595-25-000051	202869	0000947263	028-11527			TORONTO DOMINION BANK
0002052595-25-000050	202565	0000947263	028-11527			TORONTO DOMINION BANK
0002052595-25-000049	202544	0000947263	028-11527			TORONTO DOMINION BANK
0002028828-25-000013	202169	0001568280	028-16010			BW Gestao de Investimentos Ltda.
0000899140-25-000973	203129	0001305473	028-12516			Insight Holdings Group, LLC
0000899140-25-000972	202127	0001305473	028-12516			Insight Holdings Group, LLC
0002011849-25-000005	202196	0001743404		000175083	800-500112	FOUNDATIONS INVESTMENT ADVISORS, LLC
0001580642-25-005137	202688			000111010	801-60130	CONTINUITY WEALTH MANAGEMENT, CORP.
0001580642-25-005137	202689			000283318		Crafted Finance, LLC
0001580642-25-005137	202690			000151156		Crescent Wealth Advisory, LLC
0001580642-25-005137	202712			000168494	801-107338	Hobart Private Capital, LLC
0001580642-25-005137	202713			000319087	801-123434	Hoxton Planning & Management, LLC
0001580642-25-005137	202714			000172011	801-80074	HUB International Limited
0001580642-25-005137	202715			000171481	801-79769	IHT Wealth Management LLC
0001580642-25-005137	202716			000300279	801-114673	Inspire Advisors, LLC
0001580642-25-005137	202717			000284656	801-108179	INTEGRATED WEALTH CONCEPTS LLC
0001580642-25-005137	202718			000299589	801-114418	Intelligence Driven Advisers, LLC
0001580642-25-005137	202719			000110433	801-12359	James Investment Research Inc
0001580642-25-005137	202720			000127902	801-62249	Keel Point, LLC
0001580642-25-005137	202721			000128606	801-78914	Korhorn Financial Group
0001580642-25-005137	202722			000140599	801-71543	Larson Financial Group, LLC
0001580642-25-005137	202723			000168539	801-78438	LeConte Wealth Management, LLC
0001580642-25-005137	202724			000283553	801-107930	Legacy Financial Strategies, LLC
0001580642-25-005137	202725			000157450	801-116746	Lifestyle Asset Management, Inc.
0001580642-25-005137	202726			000319171	801-123638	Lumiere Financial Group LLC
0001580642-25-005137	202727			000115753	801-63693	Madrona Financial Services, LLC
0001580642-25-005137	202728			000292817	801-120452	Maia Wealth, LLC
0001580642-25-005137	202729			000118544	801-60820	Main Street Financial Life Advisors, LLC
0001580642-25-005137	202730			000002903	801-123009	Martin Nelson & Co., Inc.
0001580642-25-005137	202731			000147363	801-69271	Mercer Global Advisors, Inc.
0001580642-25-005137	202732			000110216	801-13452	Meridian Investment Advisors
0001580642-25-005137	202733			000147070		Merit Financial Group, LLC
0001580642-25-005137	202734			000324624	801-127231	Modern Wealth Management, LLC
0001580642-25-005137	202735			000288429	801-110752	Momentus Wealth Management, Inc.
0001580642-25-005137	202736			000113348	801-63874	Natural Investments PBLLC
0001580642-25-005137	202737			000296798	801-113314	New World Advisors, LLC
0001580642-25-005137	202738			000171351	801-79876	NewEdge Advisors, LLC
0001580642-25-005137	202739			000325403		Noorvest
0001580642-25-005137	202740			000169574	801-78933	Nova R Wealth, Inc
0001580642-25-005137	202741			000112505	801-79439	Oldfather Financial Services
0001580642-25-005137	202742			000310906	801-119677	One + One Wealth Management, LLC
0001580642-25-005137	202743			000301764	801-115232	Optivise Advisory Services LLC
0001580642-25-005137	202744			000310327	801-119646	Pallas Capital Advisors, LLC
0001580642-25-005137	202745			000324199	801-127465	Panorama Wealth Advisors
0001580642-25-005137	202746			000151671	801-70707	Per Stirling Capital Management, LLC
0001580642-25-005137	202747			000325119	801-127980	PFW Advisors LLC
0001580642-25-005137	202748			000331675	801-130873	PlanWiser Financial
0001580642-25-005137	202749			000330058	801-132915	Ponta Wealth Partners
0001580642-25-005137	202750			000160052	801-76490	Prentice Wealth Management
0001580642-25-005137	202751			000155216	801-72060	Private Advisor Group, LLC
0001580642-25-005137	202752			000156480	801-72187	Prosperity Capital Advisors
0001580642-25-005137	202753			000158401	801-79153	RFG Advisory, LLC
0001580642-25-005137	202754			000107271	801-43144	Savant Wealth Management
0001580642-25-005137	202670			000222515	801-116983	Aegis Wealth Group, LLC
0001580642-25-005137	202671			000135879	801-64514	Allen Capital Group, LLC
0001580642-25-005137	202672			000157423	801-72361	Alphastar Capital Management, LLC
0001580642-25-005137	202673			000145488	801-69827	Arete Wealth Advisors, LLC
0001580642-25-005137	202674			000140643	801-112759	Artifex Financial Group, LLC
0001580642-25-005137	202675			000172793	801-117954	Austin Wealth Management, LLC
0001580642-25-005137	202676			000164081	801-76763	Axxcess Wealth Management, LLC
0001580642-25-005137	202677			000152977	801-122717	Bauer Wealth Management, LLC
0001580642-25-005137	202678			000299805	801-114547	Bison Wealth, LLC
0001580642-25-005137	202679			000291459	801-112524	BlackDiamond Wealth Management, LLC
0001580642-25-005137	202680			000318366	801-123232	Bleakley Financial Group, LLC
0001580642-25-005137	202681			000107202	801-118602	Blue Barn Wealth, LLC
0001580642-25-005137	202682			000316544	801-122508	Brookwood Investment Group
0001580642-25-005137	202683			000285359	801-108434	Bryn Mawr Capital Management, LLC
0001580642-25-005137	202684			000106577	801-45064	CFS Investment Advisory Services LLC
0001580642-25-005137	202685			000284839	801-113243	Colonial River Investments, LLC
0001580642-25-005137	202686			000008032	801-41541	Commonwealth Financial Network
0001580642-25-005137	202687			000305013	801-117202	Connecticut Capital Management Group, LLC
0001580642-25-005137	202769			000304569	801-117013	Thrivent Advisor Network, LLC
0001580642-25-005137	202755			000318493	801-123656	Savvy Wealth, Inc
0001580642-25-005137	202756			000308909	801-124693	Seeds Investor LLC
0001580642-25-005137	202757			000109901	801-55783	Sentinal Pension Advisors, Inc.
0001580642-25-005137	202758			000301086	801-127017	SIGNAL ADVISORS WEALTH, LLC
0001580642-25-005137	202759			000046947	801-71178	Silver Oak Securities Incorporated
0001580642-25-005137	202760			000319437	801-13165	Split Creek Capital, LLC
0001580642-25-005137	202761			000139410	801-106971	STONE HOUSE INVESTMENT MANAGEMENT, LLC
0001580642-25-005137	202762			000109677	801-33774	Strategic Financial Services, Inc.
0001580642-25-005137	202763			000165839	801-108752	Strategic Income Group LLC
0001580642-25-005137	202764			000314424	801-121182	The Ascent Group, LLC
0001580642-25-005137	202765			000123255	801-77097	The Fragasso Group Inc
0001580642-25-005137	202766			000169006	801-79164	The Martin Worley Group
0001580642-25-005137	202767			000105902	801-40745	THOR Investment Management, Inc
0001580642-25-005137	202768			000168777	801-108388	Thrive Wealth Management, LLC
0001580642-25-005137	202691			000155576	801-107896	DFPG Investments, LLC
0001580642-25-005137	202692			000329878	801-129521	Diversify Wealth Management, LLC
0001580642-25-005137	202693			000318241		Divvi Wealth Management LLC
0001580642-25-005137	202694			000311298	801-119910	Dovetail Financial Group LLC
0001580642-25-005137	202695			000108052	801-57727	Earned Wealth
0001580642-25-005137	202696			000307265	801-118109	Echo45 Advisors LLC
0001580642-25-005137	202697			000137068	801-65068	Elevation Point Wealth Partners - Institutional
0001580642-25-005137	202698			000285961	801-108767	Facet Wealth, Inc.
0001580642-25-005137	202699			000330890		Ferris Financial Services, L.L.C.
0001580642-25-005137	202700			000111822	801-77600	FLC Capital Advisors
0001580642-25-005137	202701			000307618	801-120349	Fortress Wealth Planning, LLC
0001580642-25-005137	202702			000137945	801-66892	Founders Financial Securities, LLC
0001580642-25-005137	202703			000306703	801-127881	Fourth Dimension Wealth, LLC
0001580642-25-005137	202704			000159099	801-79524	Fulcrum Equity Management, LLC
0001580642-25-005137	202705			000283850	801-107873	Fundamentum, LLC (Stratos)
0001580642-25-005137	202706			000155344	801-72037	CWM, LLC
0001580642-25-005137	202707			000329404	801-129402	Gatepass Capital, LLC
0001580642-25-005137	202708			000324954	801-132141	Generational Private Wealth
0001580642-25-005137	202709			000175300	801-114835	Global Strategic Investment Solutions, LLC
0001580642-25-005137	202710			000321145		Green Ocean Global Advisors LLC
0001580642-25-005137	202711			000143665	801-77333	HBW Advisory Services, LLC
0001535929-25-000084	202385		028-16913	000002882	801-46585	Voya Financial Advisors, Inc
0001535929-25-000084	202384		028-07292	000108934	801-55232	Voya Investment Management LLC
0001356954-25-000006	202827	0001080374	028-04485	000159227	801-72799	JAG CAPITAL MANAGEMENT, LLC
0001356954-25-000006	202825	0001163744	028-10029	000111750	801-60133	Conestoga Capital Advisors, LLC
0001356954-25-000006	202826	0001839498	028-20533	000126248	801-112041	DCM Advisors, LLC
0001356954-25-000006	202828	0001365324	028-11946	000131684	801-63276	Numeric Investors LLC
0001599214-25-000005	203044	0001583977	028-15949	000167820	801-79513	Cormorant Asset Management, LP
0000899140-25-000970	202198	0001305473	028-12516			Insight Holdings Group, LLC
0000899140-25-000969	202060	0001305473	028-12516			Insight Holdings Group, LLC
0000899140-25-000968	202065	0001305473	028-12516			Insight Holdings Group, LLC
0000070858-25-000318	203151	0000070858	028-00158		001-06523	BANK OF AMERICA CORP /DE/
0000899140-25-000967	202509	0001305473	028-12516			Insight Holdings Group, LLC
0001496201-25-000012	202479	0001496201	028-15863	000312614	802-120694	SPHERA FUNDS MANAGEMENT LTD.
0001496201-25-000011	202794	0001496201	028-15863	000312614	802-120694	SPHERA FUNDS MANAGEMENT LTD.
0000070858-25-000317	202600	0000070858	028-00158		001-06523	BANK OF AMERICA CORP /DE/
0000070858-25-000316	202244	0000070858	028-00158		001-06523	BANK OF AMERICA CORP /DE/
0001445065-25-000008	202092	0001451623	028-19533			BENJAMIN EDWARDS INC
0001104659-25-078503	202234	0001674546	028-17462			Bellevue Group AG
0001455468-25-000003	202926		028-02462			Dean Investment Associates, LLC
0001580642-25-005136	202914	0001373442	028-13550			Mariner, LLC
0001104659-25-078498	203110	0001674546	028-17462			Bellevue Group AG
0000070858-25-000315	203010	0000070858	028-00158		001-06523	BANK OF AMERICA CORP /DE/
0001104659-25-078495	202820	0001674546	028-17462			Bellevue Group AG
0000070858-25-000314	203112	0000070858	028-00158		001-06523	BANK OF AMERICA CORP /DE/
0000070858-25-000313	202995	0000070858	028-00158		001-06523	BANK OF AMERICA CORP /DE/
0002022297-25-000010	201966	0001563660	028-21533			Desjardins Global Asset Management Inc.
0002022297-25-000010	201965	0002022297	028-24160			Federation des caisses Desjardins du Quebec
0000070858-25-000312	202493	0000070858	028-00158		001-06523	BANK OF AMERICA CORP /DE/
0000921895-25-002279	202228	0001058811	028-25299			IMMERSION CORP
0001592412-25-000002	202300	0000720672				STIFEL FINANCIAL CORP
0000921895-25-002278	202386	0001058811	028-25299			IMMERSION CORP
0000948905-25-000004	202389	0000720672	028-04621			STIFEL FINANCIAL CORP
0000070858-25-000311	202014	0000070858	028-00158		001-06523	BANK OF AMERICA CORP /DE/
0001725950-25-000006	202878	0000720672	028-04621			STIFEL FINANCIAL CORP
0001592412-25-000001	202483	0000720672				STIFEL FINANCIAL CORP
0001445065-25-000006	202515	0001451623	028-19533			BENJAMIN EDWARDS INC
0000315066-25-002229	202907	0000318989	028-00939			FIL Ltd
0000315066-25-002228	202562	0000318989	028-00939			FIL Ltd
0001528621-25-000842	202045	0001740837	028-19044	000283260	801-113312	AltraVue Capital, LLC
0001528621-25-000842	202046	0001713521	028-18105	000148828	801-96252	Bridge City Capital, LLC
0001528621-25-000842	202047	0000874791	028-02903	000107003	801-8825	CAMPBELL NEWMAN ASSET MANAGEMENT INC
0001528621-25-000842	202048	0001002152	028-05098	000107823	801-32238	COMPASS CAPITAL MANAGEMENT, INC
0001528621-25-000842	202049	0001455468	028-13367	000145666	801-68942	Dean Capital Management
0001528621-25-000842	202050	0000201772	028-00878	000109962	801-55496	ESSEX INVESTMENT MANAGEMENT CO LLC
0001528621-25-000842	202057	0001716984	028-18598	000286688	801-110032	Slow Capital, Inc.
0001528621-25-000842	202052	0001911372	028-22239	000305152	801-117225	Meros Investment Management, LP
0001528621-25-000842	202053	0001389574	028-12426	000140159	801-66532	Nicholas Investment Partners, LP
0001528621-25-000842	202054	0001230765	028-10467	000125410	801-61905	RICE HALL JAMES & ASSOCIATES, LLC
0001528621-25-000842	202055	0001882572	028-21541	000283540	801-117635	Riverwater Partners LLC
0001528621-25-000842	202056	0001134283	028-10043	000108954	801-57995	SEIZERT CAPITAL PARTNERS, LLC
0001528621-25-000842	202051	0001424467	028-12654	000130023	801-62639	Lisanti Capital Growth, LLC
0000905148-25-002921	202575	0001911838	028-22744			Post Oak Energy Holdings, LLC
0000315066-25-002227	202908	0000318989	028-00939			FIL Ltd
0000905148-25-002919	202996	0001496637	028-13977			Norinchukin Bank, The
0000905148-25-002918	203064	0001496637	028-13977			Norinchukin Bank, The
0000315066-25-002226	202006	0000318989	028-00939			FIL Ltd
0000905148-25-002914	202559	0001705339	028-18036			MIRAE ASSET GLOBAL ETFS HOLDINGS Ltd.
0000948905-25-000003	202335	0000720672	028-04621			STIFEL FINANCIAL CORP
0000905148-25-002913	202188	0001705339	028-18036			MIRAE ASSET GLOBAL ETFS HOLDINGS Ltd.
0001041062-25-000170	202576	0001484836	028-13856	000157359	801-73876	Centerbridge Partners, L.P.
0000905148-25-002912	203117	0001705339	028-18036			MIRAE ASSET GLOBAL ETFS HOLDINGS Ltd.
0000905148-25-002911	202477	0001705339	028-18036			MIRAE ASSET GLOBAL ETFS HOLDINGS Ltd.
0000905148-25-002910	202808	0001705339	028-18036			MIRAE ASSET GLOBAL ETFS HOLDINGS Ltd.
0001580642-25-005130	202872		028-13550			Mariner, LLC
0001041062-25-000169	202543	0001484836	028-13856	000157359	801-73876	Centerbridge Partners, L.P.
0000905148-25-002907	202293	0001694217	028-17954			DZ BANK AG Deutsche Zentral Genossenschafts Bank, Frankfurt am Main
0000905148-25-002906	202241	0001694217	028-17954			DZ BANK AG Deutsche Zentral Genossenschafts Bank, Frankfurt am Main
0000905148-25-002905	202906	0001694217	028-17954			DZ BANK AG Deutsche Zentral Genossenschafts Bank, Frankfurt am Main
0000905148-25-002904	202997	0001694217	028-17954			DZ BANK AG Deutsche Zentral Genossenschafts Bank, Frankfurt am Main
0000905148-25-002903	202445	0001694217	028-17954			DZ BANK AG Deutsche Zentral Genossenschafts Bank, Frankfurt am Main
0001582681-25-000006	202655	0001086619				SCHRODER INVESTMENT MANAGEMENT GROUP
0001582681-25-000006	202658	0000080255				PRICE T ROWE ASSOCIATES INC /MD/
0001582681-25-000006	202659	0001483503				TB Alternative Assets Ltd.
0001582681-25-000006	202660	0000033670				VOYA INVESTMENT MANAGEMENT CO
0001582681-25-000006	202661	0001061186				WCM INVESTMENT MANAGEMENT, LLC
0001582681-25-000006	202662	0001644956				WILLIAM BLAIR INVESTMENT MANAGEMENT, LLC
0001582681-25-000006	202630	0000916542				ACADIAN ASSET MANAGEMENT LLC
0001582681-25-000006	202631	0000748054				AMERICAN CENTURY COMPANIES INC
0001582681-25-000006	202632	0001046187				AEW CAPITAL MANAGEMENT L P
0001582681-25-000006	202633	0001075869				Allspring Global Investments, LLC
0001582681-25-000006	202634	0001167557				AQR CAPITAL MANAGEMENT LLC
0001582681-25-000006	202635	0001164508				ARROWSTREET CAPITAL, LIMITED PARTNERSHIP
0001582681-25-000006	202636	0001106832				CASTLEARK MANAGEMENT LLC
0001582681-25-000006	202637	0001719387				CDAM (UK) Ltd
0001582681-25-000006	202656	0000932024				SKBA CAPITAL MANAGEMENT LLC
0001582681-25-000006	202657	0000093751				STATE STREET CORP
0001582681-25-000006	202654	0001179454				RBC Global Asset Management (U.S.)
0001582681-25-000006	202638	0000354204				DIMENSIONAL FUND ADVISORS LP
0001582681-25-000006	202639	0001214639				DSM CAPITAL PARTNERS LLC
0001582681-25-000006	202640	0000790502				EAGLE ASSET MANAGEMENT INC
0001582681-25-000006	202641	0001006364				Hardman Johnston Global Advisors LLC
0001582681-25-000006	202642	0000053417				JENNISON ASSOCIATES LLC
0001582681-25-000006	202643	0001363391				J.P. Morgan Investment Management Inc.
0001582681-25-000006	202644	0001207017				LAZARD ASSET MANAGEMENT LLC
0001582681-25-000006	202645	0001426092				Longview Partners (Guernsey) LTD
0001582681-25-000006	202646	0001050470				LSV ASSET MANAGEMENT
0001582681-25-000006	202647	0001542302				LYRICAL ASSET MANAGEMENT LP
0001582681-25-000006	202648	0001418333				MACQUARIE GROUP LTD
0001582681-25-000006	202649	0000915287				MCKINLEY CAPITAL MANAGEMENT LLC
0001582681-25-000006	202650	0000874779				MELLON INVESTMENTS Corp
0001582681-25-000006	202651	0001317724				Mondrian Investment Partners LTD
0001582681-25-000006	202652	0001027796				PZENA INVESTMENT MANAGEMENT LLC
0001582681-25-000006	202653	0001528214				Richard Bernstein Advisors LLC
0000905148-25-002902	202829	0001694217	028-17954			DZ BANK AG Deutsche Zentral Genossenschafts Bank, Frankfurt am Main
0000905148-25-002901	202163	0001694217	028-17954			DZ BANK AG Deutsche Zentral Genossenschafts Bank, Frankfurt am Main
0001725950-25-000005	202811	0000720672	028-04621			STIFEL FINANCIAL CORP
0001041062-25-000168	203009	0001484836	028-13856	000157359	801-73876	Centerbridge Partners, L.P.
0000905148-25-002900	202508	0001694217	028-17954			DZ BANK AG Deutsche Zentral Genossenschafts Bank, Frankfurt am Main
0001795785-25-000005	202178	0001795785	028-20148	000171671	802-80717	Kirkoswald Capital Partners LLP
0001795785-25-000005	202177	0001795594	028-20147	000298735	801-114632	Kirkoswald Asset Management LLC
0001639668-25-000003	202932	0001125816	028-06487	000107027	801-39950	FIRST TRUST ADVISORS LP
0001041062-25-000167	201923	0001484836	028-13856	000157359	801-73876	Centerbridge Partners, L.P.
0001140361-25-031159	202871	0001080117	028-04321			Heitman Real Estate Securities LLC
0001041062-25-000166	202018	0001484836	028-13856	000157359	801-73876	Centerbridge Partners, L.P.
0000950123-25-008274	202843		028-18787			Galileo (PTC) Ltd
0000315066-25-002225	202602	0000318989	028-00939			FIL Ltd
0001085146-25-005209	202136	0001390113	028-12492			Taconic Capital Advisors LP
0001795785-25-000004	202248	0001795594	028-20147	000298735	801-114632	Kirkoswald Asset Management LLC
0001795785-25-000004	202249	0001962150	028-24155	000322811	802-127021	Kirkoswald Global Management Services Ltd.
0001041062-25-000165	202199	0001484836	028-13856	000157359	801-73876	Centerbridge Partners, L.P.
0000950123-25-008273	202579		028-18610			Orland Properties Ltd
0001140361-25-031156	202227	0001080117			028-04321	Heitman Real Estate Securities LLC
0000950123-25-008269	202356		028-18787			Galileo (PTC) Ltd
0000950123-25-008268	201916		028-18610			Orland Properties Ltd
0000315066-25-002224	202563	0000318989	028-00939			FIL Ltd
0000950123-25-008267	202025		028-21024			MWG Management Ltd.
0001041062-25-000164	202931	0001484836	028-13856	000157359	801-73876	Centerbridge Partners, L.P.
0001362556-25-000009	202274		028-05151			First Commonwealth Financial Corp /PA/
0000950123-25-008263	202147		028-18787			Galileo (PTC) Ltd
0000315066-25-002223	202354	0000318989	028-00939			FIL Ltd
0001420506-25-002145	202365		028-21010			SilverArc Capital Management
0001085146-25-005203	202818	0002077903	028-25694			Cherokee Insurance Co
0000950123-25-008261	202254		028-18787			Galileo (PTC) Ltd
0000950123-25-008260	203121		028-18787			Galileo (PTC) Ltd
0001085146-25-005201	202844	0001597920	028-15749			Axel Blair
0001085146-25-005201	202845	0001059543	028-15750			SALZHAUER MICHAEL
0001085146-25-005199	202489	0001059543	028-15750			SALZHAUER MICHAEL
0001085146-25-005199	202488	0001389964	028-15748			Salzhauer Henry
0000315066-25-002222	202540	0000318989	028-00939			FIL Ltd
0001426196-25-000003	202083	0001426196	028-13005	000155563	801-73004	CAPSTONE INVESTMENT ADVISORS, LLC
0000919574-25-004873	202206	0001742998	028-18846			FNY Investment Advisers, LLC
0001172661-25-003428	202166	0001848433	028-21108	000156549	801-72171	Coppell Advisory Solutions LLC
0001172661-25-003428	202167	0001551727	028-14993	000149621	801-71500	MACROVIEW INVESTMENT MANAGEMENT LLC
0001172661-25-003428	202168	0001843358	028-20742	000298195	801-118093	Mach-1 Financial Group, LLC
0000315066-25-002221	203017	0000318989	028-00939			FIL Ltd
0002055506-25-000007	201919	0001691919	028-20577	000171484	802-80046	Symmetry Investments LP
0000921895-25-002276	202561	0001559771	028-16004	000161251	801-77057	Engaged Capital LLC
0001172661-25-003424	203140	0001710537	028-21626	000286340	801-119192	EverSource Wealth Advisors, LLC
0001172661-25-003424	203141	0001353312	028-11746	000330605	801-129954	TREMBLANT CAPITAL GROUP
0001172661-25-003424	203142	0001165002	028-15581			WESTWOOD HOLDINGS GROUP INC
0001172661-25-003424	203139	0001648711	028-16981			Baird Financial Group, Inc.
0001172661-25-003424	203138	0001895911	028-21764	000315804	801-122468	Paralel Advisors LLC
0001172661-25-003424	203137	0000728083	028-01260	000325281	801-12411	FIRST MANHATTAN CO. LLC.
0001172661-25-003424	203143	0001911637	028-25147	000301879	801-126307	Sovereign's Capital Management, LLC
0001172661-25-003424	203144	0001056825	028-06988	000105675	801-36323	PRAXIS INVESTMENT MANAGEMENT INC
0000921895-25-002275	202604	0001559771	028-16004	000161251	801-77057	Engaged Capital LLC
0001398344-25-015547	202097		028-16000	000168496	801-78977	Select Equity
0001398344-25-015547	202100		028-10120	000111883	801-55543	AQR Capital Management
0001398344-25-015547	202096		028-04558	000114310	801-60485	Parametric
0001398344-25-015547	202101		028-04766	000106244	801-46796	Monarch Capital Management
0001398344-25-015547	202098		028-10031	000107660	801-50387	Woodley Farra Manion
0001398344-25-015547	202099		028-02634	000109876	801-60014	Aristotle Capital Management
0000905148-25-002899	203007	0001163653	028-10594			NOMURA HOLDINGS INC
0000905148-25-002898	203014	0001163653	028-10594			NOMURA HOLDINGS INC
0000919574-25-004866	203118	0001963918		000323259		Pilgrim Global Advisors LLC
0000315066-25-002220	203069	0000315066	028-00451			FMR LLC
0000905148-25-002895	202628	0001993962	028-25222			Anchor @ 65 Pte. Ltd.
0000905148-25-002894	202773	0001993962	028-25222			Anchor @ 65 Pte. Ltd.
0000950123-25-008248	202194		028-02682			UBS AM, a distinct business unit of UBS Asset Management Americas LLC
0000315066-25-002219	202024	0000315066	028-00451			FMR LLC
0000950142-25-002187	203147	0001670185	028-19403	000282125	801-107234	HPS Investment Partners, LLC
0001280965-25-000005	202066	0001520478	028-14481			RWC Asset Management LLP
0000950142-25-002186	202486	0001670185	028-19403	000282125	801-107234	HPS Investment Partners, LLC
0000315066-25-002218	202225	0000315066	028-00451			FMR LLC
0000919574-25-004862	203076	0001421097	028-12823	000158296	801-74035	SAMLYN CAPITAL, LLC
0000919574-25-004859	202213	0001421097	028-12823	000158296	801-74035	SAMLYN CAPITAL, LLC
0000950123-25-008244	202542		028-14342			Mill Road Capital Management LLC
0000315066-25-002217	202330	0000315066	028-00451			FMR LLC
0000919574-25-004858	203152	0001421097	028-12823	000158296	801-74035	SAMLYN CAPITAL, LLC
0002056280-25-000004	203020	0001744347	028-19675	000286622	801-114538	Vident Advisory, LLC
0000919574-25-004855	202574	0001421097	028-12823	000158296	801-74035	SAMLYN CAPITAL, LLC
0000315066-25-002216	202564	0000315066	028-00451			FMR LLC
0000919574-25-004854	201956	0001421097	028-12823	000158296	801-74035	SAMLYN CAPITAL, LLC
0001879635-25-000004	202560	1996109				SALT Holding Corp.
0000315066-25-002215	202880	0000315066	028-00451			FMR LLC
0001765923-25-000005	202570	0001996244	028-23822			SIH Partners, LLLP
0000919574-25-004852	202191	0001421097	028-12823	000158296	801-74035	SAMLYN CAPITAL, LLC
0001463931-25-000008	202017		28-12880	000144533	801-69634	Kohlberg Kravis Roberts & Co. L.P.
0001463931-25-000007	202770		28-12880	000144533	801-69634	Kohlberg Kravis Roberts & Co. L.P.
0001765924-25-000004	202253	0001996244	028-23822			SIH Partners, LLLP
0002011591-25-000004	202532	0001996244	028-23822			SIH Partners, LLLP
0000315066-25-002214	202623	0000315066	028-00451			FMR LLC
0001512538-25-000009	202251	0001500605	028-14174			NEW VERNON INVESTMENT MANAGEMENT LLC
0001954109-25-000009	202457	0001592828	028-17729	000171412	801-79835	Empowered Funds, LLC
0002009262-25-000004	202587	0001879628	028-22415			Susquehanna Capital Management, LLC
0001879009-25-000004	202187	0001879628	028-22415			Susquehanna Capital Management, LLC
0001104659-25-078420	202170	0001707921	028-18131			ECP ControlCo, LLC
0001906827-25-000004	203115	0001879628	028-22415			Susquehanna Capital Management, LLC
0001633312-25-000009	202172	0001616416				BARDIN HILL MANAGEMENT PARTNERS LP
0001324943-25-000003	201997		028-04621			Stifel Financial Corp.
0000315066-25-002213	202901	0000315066	028-00451			FMR LLC
0000072971-25-000220	203093	0000072971	028-00165			WELLS FARGO & COMPANY/MN
0001104659-25-078414	202838	0001707921	028-18131			ECP ControlCo, LLC
0000315066-25-002212	202326	0000315066	028-00451			FMR LLC
0001104659-25-078408	202668	0001707921	028-18131			ECP ControlCo, LLC
0001650373-25-000005	202882	0001457320	028-19670			EXCHANGE TRADED CONCEPTS, LLC
0002069324-25-000005	203126	0001578621	028-16119	000159639		LMR Partners LLP
0001691932-25-000003	202368	0001691919	028-20577	000171484	802-80046	Symmetry Investments LP
0001859606-25-000021	202917		028-21213			Optiver Holding B.V.
0001104659-25-078404	203119	0001707921	028-18131			ECP ControlCo, LLC
0000315066-25-002211	202874	0000315066	028-00451			FMR LLC
0002069324-25-000004	202455	0001578621	028-16119	000159639		LMR Partners LLP
0000072971-25-000219	202346	0000072971	028-00165			WELLS FARGO & COMPANY/MN
0002056605-25-000007	203032	0001691919	028-20577	000171484	802-80046	Symmetry Investments LP
0001827377-25-000010	202185	0001666335	028-19229	000281215	801-126230	Rokos Capital Management LLP
0002069324-25-000003	202061	0001578621	028-16119	000159639		LMR Partners LLP
0001104659-25-078398	202082	0001707921	028-18131			ECP ControlCo, LLC
0001859606-25-000020	202021		028-21213			Optiver Holding B.V.
0000919574-25-004847	201967	0001135730	028-06391	000157910	801-73669	COATUE MANAGEMENT LLC
0002069324-25-000002	202846	0001578621	028-16119	000159639		LMR Partners LLP
0000920655-25-000004	202547	0000932859	028-04558			PARAMETRIC PORTFOLIO ASSOCIATES LLC
0000920655-25-000004	202548	0001179157	028-06467			CIBC Private Wealth Advisors, Inc.
0000920655-25-000004	202549	0001121330	028-05837			LOGAN CAPITAL MANAGEMENT INC
0000920655-25-000004	202550	0001036325	028-04121			DAVIS SELECTED ADVISERS
0000920655-25-000004	202551	0001427514	028-13023			Dana Investment Advisors, Inc.
0000920655-25-000004	202552	0001780570	028-19978			Ethic Inc.
0000920655-25-000004	202553	0001767306	028-20247			Vanguard Personalized Indexing Management, LLC
0000920655-25-000004	202546	0001508822	028-14059			ACR Alpine Capital Research, LLC
0000315066-25-002210	202853	0000315066	028-00451			FMR LLC
0001104659-25-078397	202325	0001707921	028-18131			ECP ControlCo, LLC
0000919574-25-004846	202128	0001135730	028-06391	000157910	801-73669	COATUE MANAGEMENT LLC
0000072971-25-000218	202848	0000072971	028-00165			WELLS FARGO & COMPANY/MN
0001315863-25-000627	202211		028-14917			SummitTX Capital, L.P.
0000919574-25-004845	202774	0001135730	028-06391	000157910	801-73669	COATUE MANAGEMENT LLC
0000921895-25-002273	202319	0001939480	028-22629			GCM Grosvenor Holdings, LLC
