ACCESSION_NUMBER	OTHERINCLUDEDMANAGERSCOUNT	TABLEENTRYTOTAL	TABLEVALUETOTAL	ISCONFIDENTIALOMITTED
0001085146-25-004472	0	106	275196338	N
0001420506-25-001673	0	102	160000812	N
0001085146-25-004471	0	121	455115444	N
0001692038-25-000011	0	813	2484941412	N
0001420506-25-001672	0	113	2735938193	N
0001085146-25-004470	0	120	236343457	N
0000950123-25-006945	0	1	240174576	N
0001635523-25-000004	0	235	79288880	N
0001078246-25-000004	0	92	548028752	N
0001883367-25-000004	0	2	66092845	N
0001172661-25-002858	0	78	147723235	
0001166620-25-000005	0	179	940627371	N
0001829126-25-005743	0	294	554660261	
0001688931-25-000007	0	106	251428862	N
0001594167-25-000005	0	2	87729	N
0001762294-25-000005	0	22	377486198	N
0001310658-25-000003	0	307	1058991267	N
0001214659-25-011415	0	43	78051052	
0000950123-25-006937	0	3	286255285	N
0001027570-25-000006	0	103	114770461	N
0001984555-25-000004	0	292	542257896	N
0001062993-25-013476	0	139	1104143531	N
0000937589-25-000003	0	252	3163348	N
0000919192-25-000005	0	3014	113586669	N
0001214659-25-011406	0	152	234087724	
0001594492-25-000003	0	258	307396109	N
0001535865-25-000014	1	1982	8468366915	
0001398344-25-014379	0	84	442358019	
0001344551-25-000012	1	3003	42356787626	
0001398344-25-014377	0	47	138369314	
0001089877-25-000075	2	1758	26879535602	N
0001379995-25-000006	0	596	3695071516	N
0001956824-25-000008	0	386	718467038	N
0000820478-25-000016	0	2195	26784878516	N
0001134152-25-000006	0	174	1507921084	N
0001398344-25-014374	0	35	156055656	
0001140361-25-028522	0	279	935985460	
0001158970-25-000005	0	332	1662636634	N
0002003633-25-000005	0	648	1498745195	N
0000052024-25-000003	0	30	298800723	N
0001398344-25-014372	0	191	670437194	
0001262677-25-000004	0	131	575809305	N
0001140361-25-028518	0	935	27945211226	
0001172661-25-002854	0	29	173537148	
0001376474-25-000694	0	23	121348624	
0001618824-25-000006	0	59	230427364	N
0000905729-25-000131	0	231	111996196	
0001893327-25-000005	0	153	575424762	N
0001858740-25-000004	1	2539	2784161175	N
0001071061-25-000010	0	2285	6185004	Y
0001104659-25-073443	0	212	1641988354	
0001951757-25-001018	0	109	569416785	N
0001973259-25-000004	0	154	656364102	N
0001800798-25-000004	0	2540	3391493291	N
0001104659-25-073440	0	248	2728375940	
0002058270-25-000003	0	293	83478696	N
0001691766-25-000006	0	771	2111277219	N
0001956824-25-000007	0	560	2628902410	N
0002010635-25-000007	0	95	71671257	N
0001080382-25-000010	0	97	791445	
0001214659-25-011399	0	18	53285860	
0000950123-25-006929	0	208	104776177	N
0001588873-25-000004	0	54	8310053	N
0001398344-25-014361	0	296	1190800586	
0001062993-25-013474	0	2131	4409667431	N
0002056447-25-000005	0	51	301890317	N
0001124841-25-000004	0	83	528893	N
0002030580-25-000004	0	25	158552045	N
0001085146-25-004458	0	262	446048926	N
0001659718-25-000006	0	82	194182650	N
0001951757-25-001017	0	390	718873459	N
0001951757-25-001016	0	41	150389557	N
0001951757-25-001015	0	53	146784588	N
0001951757-25-001014	0	114	213779382	N
0002041485-25-000009	0	39	363641777	N
0001667731-25-001043	0	222	907522031	
0001667731-25-001042	0	51	178303548	
0001667731-25-001041	0	186	190889059	
0001667731-25-001040	0	198	159349830	
0001656735-25-000005	0	21	1720522291	N
0001178913-25-002595	2	196	2928896	
0001847582-25-000004	0	3	309138667	N
0001178913-25-002578	4	356	8422912	
0001214659-25-011396	0	219	256950297	
0001085146-25-004456	0	103	308362860	N
0001789351-25-000008	0	499	213338376	N
0001733472-25-000003	0	868	298588908	N
0001767513-25-000003	1	118	634882904	N
0001095449-25-000060	0	260	211915908	N
0001214659-25-011375	0	280	370969430	
0001095449-25-000059	0	180	443855958	N
0001905627-25-000001	0	177	122996233	N
0001569667-25-000003	0	251	637748559	N
0000053417-25-000076	2	810	168613938318	N
0002047728-25-000004	0	128	123953497	N
0001398344-25-014333	0	281	591933171	
0001824263-25-000002	0	32	219483159	N
0001062993-25-013451	0	708	4684464900	N
0001096343-25-000124	1	218	11827984852	N
0001085146-25-004446	0	142	225836495	N
0001085146-25-004445	0	85	177664677	N
0000900440-25-000199	2	7	357504350	N
0000900440-25-000198	2	3	295129387	N
0000900440-25-000197	2	3	299662776	N
0000900440-25-000196	2	3	264923562	N
0000900440-25-000195	2	3	273936053	N
0001567890-25-000006	0	209	419391429	N
0001062993-25-013446	0	77	1394870284	N
0000900440-25-000194	2	3	232562775	N
0000900440-25-000193	2	3	209175939	N
0001062993-25-013443	0	170	3286248978	N
0000900440-25-000192	2	3	285123074	N
0000900440-25-000191	2	3	259367471	N
0000900440-25-000190	2	4	318809995	N
0000900440-25-000189	2	4	289278711	N
0000950123-25-006907	0	3	190640383	N
0000900440-25-000188	2	4	333675653	N
0000040417-25-000041	0	71	1560792569	N
0000900440-25-000187	2	4	459559803	N
0001095449-25-000058	0	40	180900896	N
0000900440-25-000186	2	4	404233821	N
0000900440-25-000185	2	5	378509190	N
0001776290-25-000005	0	291	2167333506	N
0000900440-25-000184	2	5	384415689	N
0001172661-25-002853	0	77	124097049	
0000894189-25-005462	1	8	5261119	
0000900440-25-000183	2	5	353895207	N
0000900440-25-000182	2	5	319586570	N
0000921895-25-002057	3	1	415244958	
0001482611-25-000004	0	112	163514809	N
0001104659-25-073116	0	449	176134151	
0000900440-25-000181	2	4	286038660	N
0000900440-25-000180	2	4	242797481	N
0001104659-25-073115	0	4	1485002709	
0001172661-25-002852	0	53	152739411	
0000900440-25-000179	2	4	247223564	N
0001306333-25-000006	0	811	1044944801	N
0000900440-25-000178	2	3	287964751	N
0001172661-25-002851	0	66	141772695	
0000900440-25-000177	2	3	181656386	N
0002022512-25-000004	0	49	130581809	N
0001172661-25-002850	0	93	157483258	
0002055526-25-000003	0	75	122025444	N
0001062993-25-013436	0	72	296627048	N
0000900440-25-000176	2	3	168249915	N
0000900440-25-000175	2	3	142961218	N
0000900440-25-000174	2	3	142823844	N
0000900440-25-000173	2	3	151942580	N
0001172661-25-002847	0	307	1269432683	
0000810384-25-000005	0	338	841033793	N
0000900440-25-000172	2	3	59566291	N
0001713735-25-000006	0	111	283048738	N
0000900440-25-000171	2	3	102241674	N
0001596901-25-000003	0	109	167211677	N
0000900440-25-000170	2	3	104108667	N
0001432539-25-000007	0	138	1858773907	N
0002063364-25-000181	0	197	733655781	N
0001842054-25-000004	0	104	156116896	N
0001733788-25-000004	0	415	294857	N
0001104659-25-073087	0	127	1657414344	
0001104659-25-073085	0	230	2167596291	
0001799367-25-000004	0	42	251834764	N
0001951757-25-001013	0	205	303717458	N
0001951757-25-001012	1	55	156543896	N
0001951757-25-001011	0	141	157568026	N
0002063364-25-000177	0	81	251349555	N
0001951757-25-001010	0	85	124448806	N
0000950123-25-006904	1	613	2674389618	N
0001999371-25-010490	0	324	147419372	
0001378145-25-000013	0	433	106109379	N
0002053150-25-000005	0	153	179867025	N
0001172661-25-002845	0	48	171634210	
0001172661-25-002844	0	67	194753441	
0001085146-25-004444	0	128	644576450	N
0001085146-25-004443	2	798	10681901894	N
0000004962-25-000147	0	2	994286440	N
0001085146-25-004442	0	0	0	N
0001085146-25-004441	0	0	0	N
0001085146-25-004440	0	60	172249913	N
0001085146-25-004439	0	102	225150353	N
0001085146-25-004438	0	174	1282342978	N
0001121477-25-000009	0	425	317746072	
0001085146-25-004437	0	35	201339944	N
0001085146-25-004435	0	123	164734973	N
0001085146-25-004434	0	156	350418151	N
0001085146-25-004433	0	403	6680281986	N
0002063364-25-000172	0	111	114672961	N
0001085146-25-004432	0	0	0	N
0001085146-25-004431	1	66	5585570953	N
0001085146-25-004430	0	649	2150106427	N
0001172661-25-002843	0	395	539187476	
0001172661-25-002842	0	104	160179762	
0001977044-25-000003	0	50	237349153	N
0001377581-25-000006	0	63	6987991029	N
0002063364-25-000168	0	102	135060400	N
0002033232-25-000005	0	71	285365737	N
0001748271-25-000006	0	174	4400599210	N
0001941040-25-000399	0	41	151614062	
0002063364-25-000164	0	108	350005704	N
0001570396-25-000003	0	90	185049	N
0001964189-25-000002	2	188	4483672336	N
0001085146-25-004428	0	1	95619010	N
0000900440-25-000166	0	3	1121301047	N
0000900440-25-000165	0	3	973649493	N
0000900440-25-000164	0	3	981636892	N
0000900440-25-000163	0	3	494655000	N
0000900440-25-000162	0	3	515645000	N
0000900440-25-000161	0	3	446669800	N
0000900440-25-000160	0	3	427021600	N
0000900440-25-000159	0	3	416571400	N
0001213900-25-070475	0	308	1124617558	
0000900440-25-000158	0	3	388090500	N
0000900440-25-000157	0	3	396922100	N
0000900440-25-000156	0	3	350029200	N
0000900440-25-000155	0	4	369933491	N
0000900440-25-000154	0	3	456242500	N
0001085146-25-004427	0	2	287190281	N
0001540880-25-000005	0	494	10840755	N
0000900440-25-000153	0	3	402355700	N
0002024333-25-000003	0	133	2028356	N
0001085146-25-004426	0	481	3211443386	N
0000900440-25-000152	0	3	380554400	N
0000900440-25-000151	0	3	384790700	N
0000900440-25-000150	0	3	357679100	N
0000900440-25-000149	0	3	319110900	N
0000900440-25-000148	0	4	288646019	N
0000900440-25-000147	0	4	259313200	N
0000900440-25-000146	0	4	258354500	N
0000900440-25-000145	0	3	327220180	N
0000900440-25-000144	0	3	303426040	N
0000900440-25-000143	0	6	367937031	N
0000900440-25-000142	0	6	350258180	N
0002009275-25-000007	0	54	1305483289	N
0002056510-25-000003	0	1249	270906170	N
0000764529-25-000006	0	330	3318092192	N
0001398344-25-014302	0	420	893463398	
0000900440-25-000141	0	4	330559200	N
0000900440-25-000140	0	4	354983519	N
0001420506-25-001648	0	5	1038908050	N
0000900440-25-000139	0	4	317799110	N
0000900440-25-000138	0	4	359479102	N
0000900440-25-000136	0	4	361137656	N
0000900440-25-000135	0	4	342440533	N
0000900440-25-000134	0	4	328067322	N
0000900440-25-000133	0	4	330116297	N
0001941040-25-000398	0	108	637964061	
0001085146-25-004425	0	84	190679687	N
0001769302-25-000006	0	233	637910313	N
0000900440-25-000132	0	8	336301622	N
0000900440-25-000131	0	8	299662953	N
0000900440-25-000130	0	8	292556909	N
0000900440-25-000129	0	8	280637974	N
0001085146-25-004423	0	103	5588618413	N
0000900440-25-000128	0	10	275992530	N
0000900440-25-000127	0	10	280117574	N
0000900440-25-000126	0	10	310376998	N
0000900440-25-000125	0	10	328706137	N
0001033505-25-000004	0	302	1953103507	N
0000900440-25-000124	0	10	341949207	N
0000900440-25-000123	0	11	343045586	N
0002063364-25-000160	0	97	279330202	N
0000900440-25-000122	0	10	318377000	N
0000900440-25-000121	0	10	306351692	N
0000900440-25-000120	0	11	289572093	N
0000900440-25-000119	0	11	277694072	N
0000900440-25-000118	0	11	276815791	N
0000900440-25-000117	0	28	274271384	N
0000900440-25-000116	0	28	239130886	N
0000900440-25-000115	0	29	240355519	N
0000900440-25-000114	0	31	230188932	N
0000900440-25-000113	0	34	229739190	N
0000900440-25-000112	0	34	211066964	N
0000900440-25-000111	0	32	189567770	N
0000900440-25-000110	0	32	209280505	N
0000900440-25-000109	0	30	217588296	N
0001172661-25-002840	0	118	229842347	
0002040515-25-000004	0	100	172871179	N
0000900440-25-000108	0	21	204146518	N
0000900440-25-000107	0	14	241907393	N
0000900440-25-000106	0	12	232096973	N
0000900440-25-000105	0	11	239801483	N
0001694164-25-000007	0	263	19751416968	N
0000900440-25-000104	0	11	202210315	N
0000796848-25-000006	0	2054	23817381	N
0000900440-25-000103	0	13	198646168	N
0000900440-25-000102	0	13	173822353	N
0000900440-25-000101	0	8	164614147	N
0001772875-25-000024	0	1587	4089672594	N
0000900440-25-000100	0	8	82543383	N
0000900440-25-000099	0	9	112923094	N
0000900440-25-000098	0	13	105348907	N
0000900440-25-000097	0	14	121688488	N
0000900440-25-000096	0	14	122235170	N
0001869683-25-000006	0	12	59800164	N
0000900440-25-000095	0	13	123352277	N
0000900440-25-000094	0	9	111981075	N
0000900440-25-000093	0	5	108669003	N
0001776082-25-000004	0	621	1294259067	N
0001580642-25-004698	0	233	394461498	
0002056939-25-000003	0	8	136082215	N
0001420506-25-001642	0	96	3068153675	N
0001580642-25-004696	0	211	610403340	
0001031972-25-000004	0	41	700115020	N
0000930413-25-002351	7	7923	61602707	
0001415889-25-020815	1	3	44788781602	N
0000892712-25-000087	1	90	359600974	N
0001972750-25-000006	0	68	388292879	N
0001398344-25-014289	0	29	31499036	
0000900440-25-000092	0	6	111641701	N
0001861163-25-000007	0	314	1218830607	N
0001008895-25-000006	0	187	578394007	N
0000949623-25-000009	0	15	70691249	
0000950142-25-002063	0	0	0	
0000950123-25-006875	0	2	155847339	N
0002066812-25-000005	0	456	620404376	N
0001631562-25-000005	0	53	124792282	N
0001085146-25-004421	0	117	279541140	N
0001839307-25-000003	0	358	403901550	N
0001062993-25-013409	0	807	85485352883	N
0001773368-25-000003	0	108	1543438	N
0001728681-25-000004	0	65	644400	N
0001760578-25-000004	0	208	584930047	N
0001727336-25-000004	0	622	11616629829	N
0001962166-25-000005	0	114	261741677	N
0002063003-25-000002	0	297	77675384	N
0001633969-25-000007	0	11	1776137107	
0002033881-25-000005	0	88	159069195	N
0000891478-25-000117	5	914	10531542180	Y
0001398344-25-014273	0	834	2838880712	
0001754960-25-000516	0	109	104687235	N
0001580642-25-004677	0	1877	10202186700	
0001754960-25-000517	0	27	88379231	N
0001172661-25-002838	0	32	107200395	
0000911927-25-000003	0	91	193524150	N
0001095449-25-000056	0	239	520320781	N
0001214659-25-011244	0	4	4585107	
0001214659-25-011234	0	4426	342701612166	
0001056859-25-000004	0	527	2738211882	N
0001095449-25-000057	0	223	164425496	N
0001291318-25-000009	5	552	3654241704	N
0001941040-25-000396	0	493	194833440	
0001986152-25-000055	0	359	366927881	N
0001941040-25-000393	0	202	212364913	
0001652044-25-000063	5	39	2135229735	N
0001941040-25-000392	0	75	103201737	
0001580642-25-004676	0	1817	10032447225	
0001553936-25-000011	0	6	34540251	N
0001568541-25-000006	0	2	96959	N
0002032698-25-000004	0	54	146288405	N
0001736666-25-000005	0	116	253437429	N
0001606152-25-000003	1	63	1201569	N
0001754960-25-000519	0	14	202834050	N
0001580642-25-004675	0	1776	10040982192	
0001580642-25-004674	0	1711	9471708781	
0001580642-25-004672	0	1681	9341585066	
0000937615-25-000006	1	3159	22175711494	N
0001667731-25-001034	0	413	1566487082	
0001580642-25-004669	0	1649	8608101496	
0001667731-25-001033	0	78	309478408	
0001580642-25-004667	0	1609	8273881832	
0001667731-25-001032	0	963	38830845908	
0001580642-25-004666	0	1619	9391033232	
0001961742-25-000005	1	303	478681356	N
0001580642-25-004664	0	1555	8104308064	
0001085146-25-004405	59	3330	8719429957	
0002023071-25-000004	0	71	126498665	N
0002023168-25-000006	0	138	211486967	N
0001570253-25-000007	0	63	1019492	N
0001019231-25-000005	0	159	635897540	N
0001095449-25-000055	0	27	147222595	N
0002011668-25-000003	0	100	166017332	N
0001927129-25-000004	0	66	196266073	N
0001376474-25-000692	0	122	1012577126	
0001044924-25-000003	0	42	353712187	N
0001376474-25-000691	0	82	106167021	
0001041885-25-000012	0	466	2818983	N
0001095449-25-000054	0	145	235414813	N
0001085146-25-004390	0	20	1593263936	N
0001817174-25-000003	0	182	314882801	N
0001398344-25-014250	0	240	547165720	
0001674627-25-000005	0	35	179592519	N
0001095449-25-000053	0	474	262862000	N
0001707975-25-000007	0	69	1541376510	N
0001858828-25-000006	0	74	168926103	N
0001580642-25-004652	0	614	230272831	
0001511739-25-000005	0	165	139490970	N
0002042011-25-000004	0	102	88149254	N
0001398344-25-014247	0	168	339364728	
0000898358-25-000010	0	494	4966466088	N
0000924181-25-000007	0	578	2231148956	N
0001009005-25-000004	0	97	244420459	N
0001140361-25-028171	0	462	446339457	
0001802084-25-000004	0	1280	711632758	N
0001085146-25-004382	3	298	2292604875	N
0001085146-25-004380	0	28	289910295	N
0001085146-25-004379	0	105	112941152	N
0001420506-25-001636	0	442	181376127	N
0001973728-25-000005	0	56	372913347	N
0001085146-25-004378	0	478	908149510	N
0002057370-25-000008	0	33	426322258	N
0001252007-25-000003	0	80	306242833	N
0001114739-25-000004	0	129	920848	N
0001963669-25-000003	0	85	273738172	N
0001965150-25-000006	0	31	283610323	N
0000894119-25-000004	0	20	215072515	N
0001821168-25-000004	0	53	284057744	N
0002056367-25-000003	0	49	260383101	N
0001843867-25-000009	0	100	106809596	N
0001450935-25-000006	0	112	580779038	N
0001352526-25-000004	0	347	365732095	N
0001590214-25-000005	0	380	1623064252	N
0002011221-25-000007	0	132	165840361	N
0001941040-25-000389	0	63	490172358	
0002052510-25-000003	0	2034	181997634	N
0001085146-25-004377	2	141	1878883031	N
0001172661-25-002836	0	146	668846157	
0001085146-25-004376	0	35	77866216	N
0001085146-25-004375	0	31	136565177	N
0001085146-25-004374	0	64	198419075	N
0001085146-25-004372	0	280	432914255	N
0001882903-25-000004	0	43	378779081	N
0001085146-25-004371	0	128	840891459	N
0001085146-25-004370	0	927	3693039444	N
0001085146-25-004369	0	1603	7561604738	N
0001541399-25-000006	0	80	535537366	
0001917686-25-000005	0	120	433176312	N
0001085146-25-004367	0	56	222678796	N
0001767062-25-000007	2	220	440798059	N
0001729869-25-000006	0	87	571939355	N
0001793269-25-000003	0	142	230595675	N
0001729869-25-000005	0	221	365025997	N
0001398344-25-014237	0	200	210302250	
0002065974-25-000002	0	72	356839485	N
0001941040-25-000388	0	57	99898366	
0001085146-25-004360	0	1099	7494098636	N
0002010765-25-000005	0	242	375062827	N
0001172661-25-002834	0	108	257673364	
0002049201-25-000005	0	358	228255284	N
0001172661-25-002833	0	61	361797956	
0001085146-25-004359	0	1473	25787173330	N
0001172661-25-002832	0	108	232366993	
0002063364-25-000156	0	39	262365656	N
0000844150-25-000010	1	60	338217531	N
0001371726-25-000004	0	48	432817000	N
0001777817-25-000005	0	134	609551779	N
0001213900-25-069797	0	4	116816846	
0001992972-25-000005	0	112	171833164	N
0001765380-25-000275	0	235	354495257	N
0001275880-25-000009	0	95	231202889	N
0001420506-25-001632	0	141	62970915	N
0001639375-25-000007	8	293	801552035	N
0001908433-25-000004	0	265	256227042	N
0001172661-25-002829	0	88	1608294656	
0000945621-25-000648	0	1	100217601	
0001178913-25-002555	1	9	174981620	
0001140361-25-028130	0	185	1108862946	
0000945621-25-000646	0	38	305945077	
0001900099-25-000003	0	768	1231854637	N
0001729673-25-000006	0	112	932736427	N
0002055889-25-000004	2	119	532894579	
0000939219-25-000008	0	223	1285626043	N
0000917579-25-000006	0	41	167003	N
0001140361-25-028125	0	1984	1018160905	
0001214659-25-011183	5	1034	160496424554	
0001132708-25-000007	0	197	434679564	N
0000950123-25-006841	0	549	210951897	N
0001510870-25-000003	0	140	275880440	N
0001964394-25-000004	0	566	259547972	N
0001172661-25-002826	1	40	282085340	
0001172661-25-002823	1	40	340268834	
0002035329-25-000004	0	143	496593052	N
0002059321-25-000059	0	175	930796775	N
0001596906-25-000007	0	45	330787974	N
0001868491-25-000003	0	121	174391109	N
0001172661-25-002822	0	2	686712404	
0001398344-25-014219	0	494	1536601990	
0001910666-25-000005	0	748	318997042	N
0001172661-25-002821	0	1	188653078	
0002066265-25-000002	0	118	207540150	N
0001172661-25-002820	0	61	198890822	
0001697934-25-000003	0	503	808948285	N
0001398344-25-014217	0	283	545451285	
0001104659-25-072553	0	123	3655543581	
0002043130-25-000018	0	145	191647999	N
0001509550-25-000008	0	66	125213340	N
0000950123-25-006838	0	3	782323472	N
0002047606-25-000007	0	364	1946828431	N
0000950123-25-006836	0	3	16564	N
0001104366-25-000006	0	91	1221468	N
0001789310-25-000005	0	81	290898348	N
0001063571-25-000004	0	231	4474778	N
0001420506-25-001630	0	109	304099171	N
0001913043-25-000005	0	379	989488685	N
0001162044-25-000770	0	234	1009155770	
0001398344-25-014199	0	249	370127553	
0001667731-25-001025	0	31	163999436	
0001121914-25-000007	0	313	933349805	N
0001667731-25-001024	0	58	184101992	
0001667731-25-001023	0	205	2609400675	
0001667731-25-001022	0	88	163546118	
0001162044-25-000769	2	623	4953374259	
0001330325-25-000005	0	127	835157	N
0001667731-25-001020	0	186	574305824	
0001104659-25-072507	1	194	2387947593	
0001694284-25-000010	0	69	2855748	N
0001419186-25-000006	0	3608	32880715	N
0001104659-25-072495	1	503	292337030	
0001104659-25-072481	1	3	2089485923	
0001963355-25-000005	0	1943	139970024	N
0001896148-25-000006	0	458	181439784	N
0001535862-25-000005	0	22	183593169	N
0000950123-25-006830	0	944	31895945338	N
0001426748-25-000003	0	110	4787891	N
0002000043-25-000004	0	1	288878918	N
0001178913-25-002546	0	60	455597972	
0001178913-25-002543	0	59	1381442084	
0001910966-25-000007	0	74	904420645	N
0001667731-25-001019	0	20	135043817	
0001908380-25-000007	0	35	271411	N
0001874761-25-000007	0	4	95106912	N
0001989834-25-000006	0	63	160812253	N
0001908380-25-000004	0	73	206413	N
0001085146-25-004346	0	242	1262215986	N
0001908380-25-000002	0	365	253575	N
0000729563-25-000008	0	145	310814089	N
0001786915-25-000006	0	40	117728464	N
0001846639-25-000006	0	5	12679972	N
0001062993-25-013308	0	21	923715695	N
0001667731-25-001017	0	78	132035387	
0001721608-25-000003	0	72	2140880	N
0001803081-25-000003	0	200	208284488	N
0001085146-25-004337	0	62	575276525	N
0001085146-25-004341	0	426	716993320	N
0001085146-25-004342	0	106	263151864	N
0001085146-25-004339	0	541	4975302416	N
0002052048-25-000014	0	40	158260541	N
0001994434-25-000006	0	209	176870323	N
0001948391-25-000004	0	13	6298556552	N
0001941040-25-000384	4	53	125667698	
0001085146-25-004343	0	145	563170412	N
0001667731-25-001018	0	59	123777753	
0001085146-25-004340	0	104	174118057	N
0001085146-25-004344	0	176	2121786295	N
0001085146-25-004348	0	0	0	N
0001085146-25-004345	0	55	132309113	N
0001085146-25-004347	1	661	3986096992	N
0001911000-25-000007	0	85	188432494	N
0000923469-25-000005	0	99	602801448	N
0001908380-25-000009	0	60	168734	N
0001221073-25-000067	0	41	152991033	
0001941040-25-000382	0	109	380601200	
0001942548-25-000006	0	289	614899541	N
0001085146-25-004338	0	73	184578697	N
0001946237-25-000007	0	79	362907966	N
0001842246-25-000004	1	10	32465550	N
0001754960-25-000512	0	51	183379335	N
0002006870-25-000004	0	138	158857133	N
0001085146-25-004336	1	169	1525108358	N
0001754960-25-000515	0	77	2818600377	N
0001173460-25-000006	0	6	668396	N
0001908380-25-000005	0	1488	438601	N
0001951757-25-001006	1	358	1601119977	N
0001941040-25-000380	0	38	138788708	
0001754960-25-000510	0	63	109759078	N
0001172661-25-002815	0	164	235455747	
0001666582-25-000004	0	32	127084629	N
0001104659-25-072247	0	17	127461417	
0001172036-25-000006	0	121	250259	N
0001034642-25-000003	0	387	2833105841	N
0001767821-25-000005	0	679	2037537124	N
0000862469-25-000003	0	906	3064015	N
0001172661-25-002813	0	74	186020019	
0000811360-25-000006	0	84	1093001792	N
0001172661-25-002811	0	111	719881730	
0002033794-25-000004	0	211	308174222	N
0001123292-25-000327	0	2	37097474	
0001102256-25-000007	0	357	286504580	
0001172661-25-002809	0	118	212977713	
0000051762-25-000003	0	170	2062211329	N
0001441888-25-000004	1	168	1128307400	N
0001062993-25-013292	1	841	1253128346	N
0001951757-25-001003	0	70	146402382	N
0001951757-25-001002	0	47	1182889245	N
0001951757-25-001001	0	40	179244404	N
0001955091-25-000008	0	59	325744101	
0001172661-25-002808	0	289	623748070	
0001941040-25-000377	0	56	231001409	
0001398344-25-014177	0	40	186380228	
0000884548-25-000003	0	156	1129127343	N
0001954551-25-000007	0	57	384289298	N
0001936420-25-000005	0	122	275335986	N
0001633037-25-000004	0	611	1651302452	N
0001172661-25-002807	0	129	200318541	
0001801263-25-000007	2	415	1400413269	N
0001104659-25-072135	0	54	631171356	
0001104659-25-072132	0	97	2789620330	
0001799719-25-000005	0	81	382961905	N
0001936953-25-000004	0	570	3937519168	N
0001569833-25-000003	0	91	381014034	N
0001725547-25-003624	0	40	218809353	N
0001852338-25-000004	0	22	202541555	N
0001085146-25-004334	0	138	614813706	N
0001062993-25-013285	0	142	148115426	N
0001540944-25-000004	0	145	796574445	N
0001085146-25-004333	0	282	930233384	N
0001085146-25-004332	0	168	224610112	N
0001104659-25-072098	0	191	13639169682	
0001373017-25-000008	0	70	469588821	N
0001314440-25-000010	0	178	7573387794	
0001667731-25-001015	0	308	606202270	
0001092203-25-000004	0	863	5524713868	N
0001085146-25-004331	0	242	339318422	N
0001313473-25-000010	0	71	446761	
0001895911-25-000004	2	108	2456155589	N
0001085146-25-004330	0	33	195878633	N
0000932974-25-000012	0	619	11315019844	N
0001765380-25-000271	0	241	931249231	N
0001415889-25-020537	0	53	187527248	N
0001033974-25-000004	0	153	1303443345	N
0001911832-25-000007	3	1053	6574149488	N
0001780570-25-000005	0	1215	5583320345	N
0001742998-25-000008	4	1100	236565	N
0001172661-25-002805	0	54	174551705	
0001893893-25-000004	0	173	498098449	N
0001350780-25-000003	0	82	820888348	N
0001172661-25-002804	0	29	96163408	
0000950123-25-006768	0	135	225367968	N
0001509873-25-000005	0	56	151029288	N
0001941040-25-000375	0	131	501731633	
0001420506-25-001614	0	131	383059667	N
0001576151-25-000014	0	492	2839656227	N
0001398344-25-014162	0	288	960100957	
0001141455-25-000005	0	272	2272631118	N
0001062993-25-013278	0	1061	7624237643	N
0001398344-25-014160	0	279	1378208007	
0001085146-25-004327	0	0	0	N
0001085146-25-004326	1	75	17297602151	N
0001641172-25-021528	0	13	219328	
0002063364-25-000152	0	65	244726741	N
0002059327-25-000007	0	46	118998859	N
0001104659-25-072066	1	118	373654827	
0001782491-25-000004	0	116	271631378	N
0001504492-25-000005	0	31	619585298	N
0001580642-25-004611	0	34	83045581	
0001308331-25-000005	0	124	207884766	N
0001080107-25-000008	0	1444	14201941081	N
0001587192-25-000006	0	436	497040786	N
0001214659-25-011108	0	71	329993066	
0001085146-25-004324	0	443	211552315	N
0002001526-25-000008	0	123	145809639	N
0001667731-25-001014	0	13	208098863	
0001830817-25-000004	0	334	381764261	N
0001819476-25-000007	0	350	756282651	N
0001214659-25-011101	0	178	843871205	
0001172661-25-002803	0	253	473400791	
0000950123-25-006766	0	78	1876657030	N
0001667731-25-001012	0	222	2902086235	
0001085146-25-004323	0	91	190846833	N
0001085146-25-004322	0	304	2350773263	N
0001125243-25-000006	0	101	86830637	N
0001172661-25-002801	0	187	305351147	
0001085146-25-004321	0	92	133991165	N
0001398344-25-014143	0	483	129075337	
0001140361-25-027961	0	109	930608047	
0002009346-25-000006	0	264	202985978	N
0001172661-25-002799	0	58	100489052	
0001398344-25-014137	0	124	3035084397	
0001909904-25-000005	0	103	574566690	N
0001903880-25-000005	1	293	873191431	
0001835206-25-000004	0	47	162754809	N
0001085146-25-004319	0	21	127673387	N
0001085146-25-004318	0	183	315795014	N
0001398344-25-014133	0	201	217783147	
0001172661-25-002797	2	81	1844060450	
0001085146-25-004316	0	165	418659434	N
0001085146-25-004315	0	96	222214419	N
0001085146-25-004314	0	349	393474526	N
0002032436-25-000005	0	132	173956525	N
0001085146-25-004313	0	172	137785085	N
0001085146-25-004312	0	188	191482136	N
0001085146-25-004310	0	20	155859604	N
0001085146-25-004309	0	180	125813752	N
0001767217-25-000004	0	17	179494185	N
0001085146-25-004308	0	106	253768923	N
0001085146-25-004307	0	41	80001230	N
0001085146-25-004306	0	19	239525250	N
0001085146-25-004304	0	35	338403533	N
0001172661-25-002793	0	179	980127785	
0001085146-25-004303	0	230	569412582	N
0001398344-25-014121	0	145	988496599	
0001062993-25-013273	0	107	189662783	N
0001694886-25-000005	0	100	342092181	N
0001913842-25-000005	0	116	171999865	N
0000859872-25-000003	1	276	2525790601	N
0001480916-25-000004	0	0	0	N
0001598697-25-000006	0	598	2825524	N
