ACCESSION_NUMBER	OTHERINCLUDEDMANAGERSCOUNT	TABLEENTRYTOTAL	TABLEVALUETOTAL	ISCONFIDENTIALOMITTED
0001892688-25-000159	0	5	2383371981	N
0000859804-25-000006	1	19	515189619	Y
0001172661-25-003500	0	1	335616371	
0001085146-25-005297	0	72	4734560970	N
0000899140-25-000995	0	227	1906688792	
0001415889-25-021871	0	4	241972022	N
0001207017-25-000063	1	3684	72667774	N
0001085146-25-005296	2	390	4359212964	N
0001062993-25-014442	0	322	4256537362	N
0001965005-25-000006	0	13	512951457	N
0001172661-25-003497	0	73	5232224634	
0002032489-25-000007	0	1	132791006	Y
0000950123-25-008406	0	1	813252863	N
0000905148-25-002938	1	24	539696279	
0001172661-25-003496	3	8	2936952686	
0001904323-25-000004	0	86	150361959	N
0001768757-25-000009	0	22	677620918	N
0000905148-25-002937	0	19	286775253	
0001415889-25-021865	0	12	137636788	N
0001085146-25-005295	9	13746	120883773328	N
0001754960-25-000611	0	93	149218470	N
0001375836-25-000008	2	28	739894070	N
0001892688-25-000158	0	53	2397034823	N
0001104659-25-078647	0	25	47780360264	
0001912699-25-000009	0	2	720038	N
0000950123-25-008404	0	16	1424806188	N
0001846677-25-000004	0	14	891972912	N
0000905148-25-002936	0	2	22048827	
0001172661-25-003495	0	5	1437144602	
0000905148-25-002935	0	111	2624703390	
0000899140-25-000992	1	258	12944539123	
0001749333-25-000005	0	32	224326880	N
0001172661-25-003494	0	19	177384968	
0000919574-25-004902	0	29	10251250527	
0001415889-25-021860	1	8	69162498	N
0001085146-25-005294	0	0	0	N
0002047271-25-000004	0	702	123032294	N
0001535264-25-000052	0	94	891745340	N
0001172661-25-003493	0	32	1394747868	
0000104889-25-000066	0	5	889515	N
0001398344-25-015679	0	230	668446012	
0000905148-25-002934	0	13	171580404	
0000899140-25-000991	0	3	846596890	
0001944889-25-000005	0	17	1281766211	N
0000902664-25-003678	0	104	1502179500	
0001418812-25-000025	1	18	5599318806	N
0001085146-25-005293	0	0	0	N
0000950123-25-008403	0	6	187360221	N
0000902664-25-003677	1	2889	21752070948	
0000929638-25-003060	0	155	311988651	
0000902664-25-003674	0	4	221272022	
0000902664-25-003673	1	435	1543450791	
0001012975-25-000449	0	4	15909077	N
0000950123-25-008401	0	0	0	Y
0000899140-25-000990	0	4	65608860	
0001596053-25-000007	0	60	531120003	N
0001213900-25-076693	0	1	3903	
0000902664-25-003672	1	153	2592644014	
0001172661-25-003488	1	20	139395331	
0001085146-25-005292	0	0	0	N
0000921895-25-002301	0	12	205339437	
0000905148-25-002933	0	6	763411416	
0001013594-25-001037	0	1	0	
0001481669-25-000007	0	41	13221538661	N
